Electronic Nose Data Export
Sample Name,Final-Percobaan1-kenanga
Sample Type,Bunga Kenanga
Export Date,2025-12-11T06:45:50.255834
Mode,Auto FSM
Number of Points,1323

Time (s),GM-NO2 (Nitrogen Dioxide),GM-C2H5OH (Ethanol),GM-VOC (Volatile Org),GM-CO (Carbon Monoxide),MiCS-CO (Approximation),MiCS-Ethanol (Approximation),MiCS-VOC (Approximation)
0.000,0.86,0.80,0.19,0.03,2.58,1.70,0.74
0.250,0.86,0.80,0.19,0.03,2.57,1.69,0.73
0.500,0.86,0.80,0.19,0.03,2.57,1.69,0.73
0.750,0.86,0.80,0.19,0.03,2.57,1.69,0.73
1.000,0.86,0.80,0.19,0.03,2.57,1.69,0.73
1.250,0.86,0.80,0.19,0.03,2.57,1.69,0.73
1.500,0.86,0.80,0.19,0.03,2.57,1.69,0.73
1.750,0.86,0.80,0.19,0.04,2.57,1.69,0.73
2.000,0.86,0.80,0.19,0.04,2.57,1.69,0.73
2.250,0.87,0.80,0.20,0.04,2.58,1.70,0.74
2.500,0.87,0.80,0.20,0.04,2.58,1.70,0.74
2.750,0.87,0.80,0.20,0.04,2.57,1.69,0.73
3.000,0.87,0.81,0.21,0.04,2.58,1.70,0.74
3.250,0.88,0.81,0.21,0.04,2.58,1.70,0.74
3.500,0.88,0.81,0.22,0.04,2.58,1.70,0.74
3.750,0.88,0.81,0.22,0.04,2.58,1.70,0.74
4.000,0.88,0.81,0.23,0.04,2.58,1.70,0.74
4.250,0.89,0.81,0.23,0.04,2.58,1.70,0.74
4.500,0.89,0.81,0.24,0.04,2.58,1.70,0.74
4.750,0.89,0.81,0.24,0.04,2.58,1.70,0.74
5.000,0.89,0.82,0.25,0.04,2.59,1.71,0.74
5.250,0.90,0.82,0.26,0.04,2.59,1.71,0.74
5.500,0.90,0.82,0.26,0.04,2.59,1.71,0.74
5.750,0.90,0.82,0.27,0.04,2.59,1.71,0.74
6.000,0.90,0.82,0.28,0.04,2.59,1.71,0.74
6.250,0.91,0.83,0.28,0.04,2.59,1.71,0.74
6.500,0.91,0.83,0.29,0.04,2.58,1.70,0.74
6.750,0.91,0.83,0.29,0.04,2.59,1.71,0.74
7.000,0.91,0.83,0.30,0.04,2.58,1.70,0.74
7.250,0.91,0.83,0.30,0.04,2.58,1.70,0.74
7.500,0.92,0.84,0.31,0.04,2.59,1.71,0.74
7.750,0.92,0.84,0.32,0.04,2.58,1.70,0.74
8.000,0.92,0.84,0.32,0.04,2.59,1.71,0.74
8.250,0.92,0.84,0.33,0.04,2.59,1.71,0.74
8.500,0.92,0.84,0.33,0.04,2.58,1.70,0.74
8.750,0.92,0.84,0.33,0.04,2.59,1.71,0.74
9.000,0.92,0.84,0.34,0.04,2.59,1.71,0.74
9.250,0.92,0.84,0.34,0.04,2.59,1.71,0.74
