Electronic Nose Data Export
Sample Name,Final-percobaan1-sedapmalam
Sample Type,Bunga Sedap Malam
Export Date,2025-12-11T06:08:57.776103
Mode,Auto FSM
Number of Points,1329

Time (s),GM-NO2 (Nitrogen Dioxide),GM-C2H5OH (Ethanol),GM-VOC (Volatile Org),GM-CO (Carbon Monoxide),MiCS-CO (Approximation),MiCS-Ethanol (Approximation),MiCS-VOC (Approximation)
0.000,0.81,0.79,0.18,0.03,2.57,1.69,0.73
0.250,0.81,0.79,0.18,0.03,2.58,1.70,0.74
0.500,0.81,0.79,0.18,0.03,2.57,1.69,0.73
0.750,0.81,0.79,0.18,0.03,2.57,1.69,0.73
1.000,0.81,0.79,0.18,0.03,2.57,1.69,0.73
1.250,0.81,0.79,0.18,0.03,2.57,1.69,0.73
1.500,0.81,0.79,0.18,0.03,2.57,1.69,0.73
1.750,0.81,0.79,0.18,0.03,2.57,1.69,0.73
2.000,0.81,0.79,0.18,0.03,2.57,1.69,0.73
2.250,0.81,0.79,0.18,0.03,2.57,1.69,0.73
2.500,0.81,0.79,0.18,0.03,2.57,1.69,0.73
2.750,0.81,0.79,0.18,0.03,2.57,1.69,0.73
3.000,0.81,0.79,0.18,0.03,2.57,1.69,0.73
3.250,0.81,0.79,0.18,0.03,2.57,1.69,0.73
3.500,0.81,0.79,0.18,0.03,2.57,1.69,0.73
3.750,0.81,0.79,0.18,0.03,2.57,1.69,0.73
4.000,0.81,0.79,0.18,0.03,2.57,1.69,0.73
4.250,0.81,0.79,0.18,0.03,2.57,1.69,0.73
4.500,0.81,0.79,0.18,0.03,2.57,1.69,0.73
4.750,0.81,0.79,0.18,0.03,2.57,1.69,0.73
5.000,0.81,0.79,0.18,0.03,2.57,1.69,0.73
5.250,0.81,0.79,0.18,0.03,2.57,1.69,0.73
5.500,0.81,0.79,0.18,0.03,2.57,1.69,0.73
5.750,0.81,0.79,0.18,0.03,2.57,1.69,0.73
6.000,0.81,0.79,0.18,0.03,2.57,1.69,0.73
6.250,0.81,0.79,0.18,0.03,2.57,1.69,0.73
6.500,0.81,0.79,0.18,0.03,2.57,1.69,0.73
6.750,0.81,0.79,0.18,0.03,2.57,1.69,0.73
7.000,0.81,0.79,0.18,0.03,2.57,1.69,0.73
7.250,0.81,0.79,0.18,0.03,2.57,1.69,0.73
7.500,0.81,0.79,0.18,0.03,2.57,1.69,0.73
7.750,0.81,0.79,0.18,0.03,2.57,1.69,0.73
8.000,0.81,0.79,0.18,0.03,2.57,1.69,0.73
8.250,0.81,0.79,0.18,0.03,2.57,1.69,0.73
8.500,0.81,0.79,0.18,0.03,2.57,1.69,0.73
8.750,0.81,0.79,0.18,0.03,2.57,1.69,0.73
9.000,0.81,0.79,0.18,0.03,2.57,1.69,0.73
9.250,0.81,0.79,0.18,0.03,2.57,1.69,0.73
9.500,0.81,0.80,0.18,0.03,2.57,1.69,0.73
9.750,0.81,0.79,0.18,0.03,2.57,1.69,0.73
10.000,0.81,0.79,0.18,0.03,2.57,1.69,0.73
10.250,0.81,0.79,0.18,0.03,2.57,1.69,0.73
10.500,0.81,0.79,0.18,0.03,2.57,1.69,0.73
10.750,0.81,0.79,0.18,0.03,2.57,1.69,0.73
11.000,0.81,0.80,0.18,0.03,2.57,1.69,0.73
11.250,0.81,0.80,0.18,0.03,2.57,1.69,0.73
11.500,0.81,0.80,0.18,0.03,2.57,1.69,0.73
11.750,0.81,0.80,0.18,0.03,2.57,1.69,0.73
12.000,0.81,0.80,0.18,0.03,2.57,1.69,0.73
12.250,0.81,0.80,0.18,0.03,2.57,1.69,0.73
12.500,0.81,0.80,0.18,0.03,2.57,1.69,0.73
12.750,0.81,0.80,0.18,0.03,2.57,1.69,0.73
13.000,0.81,0.80,0.18,0.03,2.57,1.69,0.73
13.250,0.81,0.80,0.18,0.03,2.57,1.69,0.73
13.500,0.81,0.80,0.18,0.03,2.57,1.69,0.73
13.750,0.81,0.80,0.18,0.03,2.57,1.69,0.73
14.000,0.81,0.80,0.18,0.03,2.57,1.69,0.73
14.250,0.81,0.80,0.18,0.03,2.57,1.69,0.73
14.500,0.81,0.80,0.18,0.03,2.57,1.69,0.73
14.750,0.81,0.80,0.18,0.03,2.57,1.69,0.73
15.000,0.81,0.80,0.18,0.03,2.57,1.69,0.73
15.250,0.81,0.80,0.18,0.03,2.57,1.69,0.73
15.500,0.81,0.80,0.18,0.03,2.57,1.69,0.73
15.750,0.81,0.80,0.18,0.03,2.57,1.69,0.73
16.000,0.81,0.80,0.18,0.03,2.57,1.69,0.73
16.250,0.81,0.80,0.18,0.03,2.57,1.69,0.73
16.500,0.81,0.80,0.18,0.03,2.57,1.69,0.73
16.750,0.81,0.80,0.18,0.03,2.57,1.69,0.73
17.000,0.81,0.80,0.18,0.03,2.57,1.69,0.73
