Electronic Nose Data Export
Sample Name,Percobaan1-Mawar
Sample Type,Bunga Mawar
Export Date,2025-11-26T21:15:57.242107
Mode,Auto FSM (Zizu)
Number of Points,7302

Time (s),GM-NO2 (Nitrogen Dioxide),GM-C2H5OH (Ethanol),GM-VOC (Volatile Org),GM-CO (Carbon Monoxide),MiCS-CO (Approximation),MiCS-Ethanol (Approximation),MiCS-VOC (Approximation)
0.000,0.77,0.55,0.08,0.04,1.98,1.20,0.54
0.250,0.77,0.54,0.08,0.04,1.98,1.20,0.54
0.500,0.77,0.54,0.08,0.04,1.98,1.20,0.54
0.750,0.77,0.55,0.08,0.04,1.98,1.20,0.54
1.000,0.77,0.54,0.08,0.04,1.98,1.20,0.54
1.250,0.77,0.54,0.08,0.04,1.98,1.20,0.54
1.500,0.77,0.55,0.08,0.04,1.98,1.20,0.54
1.750,0.78,0.55,0.08,0.04,1.98,1.20,0.54
2.000,0.78,0.55,0.08,0.04,1.98,1.20,0.54
2.250,0.78,0.54,0.08,0.04,1.98,1.20,0.54
2.500,0.78,0.54,0.08,0.04,1.98,1.20,0.54
2.750,0.78,0.55,0.08,0.04,1.98,1.20,0.54
3.000,0.78,0.55,0.08,0.04,1.98,1.20,0.54
3.250,0.78,0.54,0.08,0.04,1.54,0.87,0.41
3.500,0.78,0.55,0.08,0.04,1.98,1.20,0.54
3.750,0.78,0.55,0.08,0.04,1.98,1.20,0.54
4.000,0.78,0.54,0.08,0.04,1.98,1.20,0.54
4.250,0.78,0.55,0.09,0.04,1.98,1.20,0.54
4.500,0.78,0.54,0.09,0.04,1.98,1.20,0.54
4.750,0.78,0.54,0.09,0.04,1.98,1.20,0.54
5.000,0.78,0.55,0.09,0.05,1.98,1.20,0.54
5.250,0.78,0.54,0.09,0.05,1.98,1.20,0.54
5.500,0.78,0.54,0.09,0.05,1.98,1.20,0.54
5.750,0.79,0.55,0.09,0.05,1.98,1.20,0.54
6.000,0.79,0.54,0.09,0.05,1.98,1.20,0.54
6.250,0.79,0.54,0.09,0.05,1.98,1.20,0.54
6.500,0.79,0.55,0.09,0.05,1.98,1.20,0.54
6.750,0.79,0.54,0.09,0.05,1.98,1.20,0.54
7.000,0.79,0.55,0.09,0.05,1.98,1.20,0.54
7.250,0.79,0.55,0.09,0.05,1.98,1.20,0.54
7.500,0.79,0.54,0.09,0.05,1.98,1.20,0.54
7.750,0.79,0.55,0.09,0.05,1.98,1.20,0.54
8.000,0.79,0.55,0.09,0.05,1.98,1.20,0.54
8.250,0.79,0.54,0.09,0.05,1.98,1.20,0.54
8.500,0.79,0.55,0.09,0.05,1.98,1.20,0.54
8.750,0.79,0.54,0.09,0.05,1.98,1.20,0.54
9.000,0.79,0.54,0.09,0.05,1.98,1.20,0.54
9.250,0.79,0.54,0.09,0.05,1.98,1.20,0.54
9.500,0.79,0.55,0.09,0.05,1.98,1.20,0.54
9.750,0.79,0.54,0.09,0.05,1.98,1.20,0.54
10.000,0.79,0.54,0.09,0.05,1.98,1.20,0.54
10.250,0.79,0.54,0.09,0.05,1.98,1.20,0.54
10.500,0.79,0.55,0.09,0.05,1.98,1.20,0.54
10.750,0.79,0.54,0.10,0.05,1.98,1.20,0.54
11.000,0.79,0.54,0.10,0.05,1.98,1.20,0.54
11.250,0.79,0.55,0.10,0.05,1.98,1.20,0.54
11.500,0.79,0.55,0.10,0.05,1.98,1.20,0.54
11.750,0.79,0.55,0.10,0.05,2.12,1.32,0.59
12.000,0.79,0.55,0.10,0.05,1.98,1.20,0.54
12.250,0.80,0.55,0.10,0.05,1.98,1.20,0.54
12.500,0.79,0.54,0.10,0.05,2.12,1.32,0.59
