Electronic Nose Data Export
Sample Name,Percobaan1-sedapmalam
Sample Type,Bunga Sedap Malam
Export Date,2025-11-26T21:51:46.970682
Mode,Auto FSM (Zizu)
Number of Points,7224

Time (s),GM-NO2 (Nitrogen Dioxide),GM-C2H5OH (Ethanol),GM-VOC (Volatile Org),GM-CO (Carbon Monoxide),MiCS-CO (Approximation),MiCS-Ethanol (Approximation),MiCS-VOC (Approximation)
0.000,0.69,0.52,0.06,0.04,3.54,2.57,1.05
0.250,0.69,0.52,0.06,0.04,3.54,2.57,1.05
0.500,0.69,0.52,0.06,0.04,3.54,2.57,1.05
0.750,0.69,0.52,0.06,0.04,3.54,2.57,1.05
1.000,0.69,0.52,0.06,0.04,3.54,2.57,1.05
1.250,0.69,0.52,0.06,0.04,3.54,2.57,1.05
1.500,0.69,0.52,0.06,0.04,3.54,2.57,1.05
1.750,0.69,0.52,0.06,0.04,3.54,2.57,1.05
2.000,0.69,0.52,0.06,0.04,3.54,2.57,1.05
2.250,0.69,0.52,0.06,0.04,3.54,2.57,1.05
2.500,0.69,0.52,0.06,0.04,3.54,2.57,1.05
2.750,0.69,0.52,0.06,0.04,3.54,2.57,1.05
3.000,0.69,0.52,0.06,0.04,3.38,2.42,1.00
3.250,0.70,0.52,0.06,0.04,3.70,2.73,1.11
3.500,0.70,0.52,0.06,0.04,3.54,2.57,1.05
3.750,0.70,0.52,0.06,0.04,3.54,2.57,1.05
4.000,0.70,0.52,0.06,0.04,3.54,2.57,1.05
4.250,0.70,0.52,0.06,0.04,3.38,2.42,1.00
4.500,0.70,0.52,0.06,0.04,3.54,2.57,1.05
4.750,0.70,0.52,0.06,0.04,3.38,2.42,1.00
5.000,0.70,0.52,0.06,0.04,3.54,2.57,1.05
5.250,0.70,0.52,0.06,0.04,3.54,2.57,1.05
5.500,0.71,0.52,0.06,0.04,3.54,2.57,1.05
5.750,0.71,0.52,0.06,0.04,3.38,2.42,1.00
6.000,0.71,0.52,0.06,0.04,3.54,2.57,1.05
6.250,0.71,0.52,0.06,0.04,3.54,2.57,1.05
6.500,0.71,0.52,0.06,0.04,3.38,2.42,1.00
6.750,0.71,0.52,0.06,0.04,3.54,2.57,1.05
7.000,0.71,0.52,0.06,0.04,3.54,2.57,1.05
7.250,0.71,0.52,0.06,0.04,3.54,2.57,1.05
7.500,0.71,0.52,0.06,0.04,3.54,2.57,1.05
7.750,0.71,0.52,0.06,0.04,3.54,2.57,1.05
8.000,0.71,0.52,0.06,0.04,3.54,2.57,1.05
8.250,0.71,0.52,0.06,0.04,3.38,2.42,1.00
8.500,0.71,0.52,0.06,0.04,3.54,2.57,1.05
8.750,0.71,0.52,0.06,0.04,3.38,2.42,1.00
9.000,0.72,0.52,0.06,0.05,3.38,2.42,1.00
9.250,0.72,0.52,0.06,0.04,3.38,2.42,1.00
9.500,0.72,0.52,0.07,0.05,3.38,2.42,1.00
9.750,0.72,0.52,0.07,0.05,3.54,2.57,1.05
10.000,0.72,0.52,0.07,0.05,3.38,2.42,1.00
10.250,0.72,0.52,0.07,0.05,3.38,2.42,1.00
10.500,0.72,0.52,0.07,0.05,3.21,2.27,0.94
10.750,0.72,0.52,0.07,0.04,3.54,2.57,1.05
11.000,0.72,0.52,0.07,0.05,3.54,2.57,1.05
11.250,0.72,0.52,0.07,0.05,3.54,2.57,1.05
11.500,0.72,0.52,0.07,0.05,3.54,2.57,1.05
11.750,0.72,0.52,0.07,0.05,3.54,2.57,1.05
12.000,0.72,0.52,0.07,0.05,3.54,2.57,1.05
12.250,0.72,0.52,0.07,0.05,3.54,2.57,1.05
12.500,0.72,0.52,0.07,0.05,3.54,2.57,1.05
12.750,0.72,0.52,0.07,0.05,3.54,2.57,1.05
13.000,0.72,0.52,0.07,0.05,3.54,2.57,1.05
13.250,0.72,0.52,0.07,0.05,3.54,2.57,1.05
13.500,0.72,0.52,0.07,0.05,3.38,2.42,1.00
13.750,0.72,0.52,0.07,0.05,3.54,2.57,1.05
