Electronic Nose Data Export
Sample Name,bismillah
Sample Type,Bunga Kenanga
Export Date,2025-12-11T04:00:01.046308
Mode,Auto FSM
Number of Points,1325

Time (s),GM-NO2 (Nitrogen Dioxide),GM-C2H5OH (Ethanol),GM-VOC (Volatile Org),GM-CO (Carbon Monoxide),MiCS-CO (Approximation),MiCS-Ethanol (Approximation),MiCS-VOC (Approximation)
0.000,0.59,0.59,0.05,0.03,2.58,1.70,0.74
0.250,0.59,0.59,0.05,0.03,2.57,1.69,0.73
0.500,0.58,0.59,0.05,0.03,2.57,1.69,0.73
0.750,0.58,0.59,0.05,0.03,2.57,1.69,0.73
1.000,0.58,0.59,0.05,0.03,2.57,1.69,0.73
1.250,0.58,0.59,0.05,0.03,2.57,1.69,0.73
1.500,0.58,0.59,0.05,0.03,2.57,1.69,0.73
1.750,0.58,0.59,0.05,0.03,2.57,1.69,0.73
2.000,0.58,0.59,0.05,0.03,2.57,1.69,0.73
2.250,0.58,0.59,0.05,0.03,2.57,1.69,0.73
2.500,0.58,0.59,0.05,0.03,2.57,1.69,0.73
2.750,0.58,0.59,0.05,0.03,2.57,1.69,0.73
3.000,0.58,0.59,0.05,0.03,2.57,1.69,0.73
3.250,0.58,0.59,0.05,0.03,2.57,1.69,0.73
3.500,0.58,0.59,0.05,0.03,2.57,1.69,0.73
3.750,0.58,0.59,0.05,0.03,2.57,1.69,0.73
4.000,0.58,0.59,0.05,0.03,2.57,1.69,0.73
4.250,0.58,0.59,0.05,0.03,2.57,1.69,0.73
4.500,0.58,0.59,0.05,0.03,2.57,1.69,0.73
4.750,0.58,0.59,0.05,0.03,2.57,1.69,0.73
5.000,0.58,0.59,0.05,0.03,2.57,1.69,0.73
5.250,0.58,0.59,0.05,0.03,2.57,1.69,0.73
5.500,0.58,0.59,0.05,0.03,2.57,1.69,0.73
5.750,0.58,0.59,0.05,0.03,2.57,1.69,0.73
6.000,0.58,0.59,0.05,0.03,2.57,1.69,0.73
6.250,0.58,0.59,0.05,0.03,2.57,1.69,0.73
6.500,0.58,0.59,0.05,0.03,2.57,1.69,0.73
6.750,0.58,0.59,0.05,0.03,2.57,1.69,0.73
7.000,0.58,0.59,0.05,0.03,2.57,1.69,0.73
7.250,0.58,0.59,0.05,0.03,2.57,1.69,0.73
7.500,0.58,0.59,0.05,0.03,2.58,1.70,0.74
7.750,0.58,0.59,0.05,0.03,2.57,1.69,0.73
8.000,0.58,0.59,0.05,0.03,2.57,1.69,0.73
8.250,0.58,0.59,0.05,0.03,2.57,1.69,0.73
8.500,0.58,0.59,0.05,0.03,2.57,1.69,0.73
8.750,0.58,0.59,0.05,0.03,2.57,1.69,0.73
9.000,0.58,0.59,0.05,0.03,2.57,1.69,0.73
9.250,0.58,0.59,0.05,0.03,2.57,1.69,0.73
