Electronic Nose Data Export
Sample Name,melati1
Sample Type,Bunga Melati
Export Date,2025-11-26T19:55:59.828978
Mode,Auto FSM (Zizu)
Number of Points,7299

Time (s),GM-NO2 (Nitrogen Dioxide),GM-C2H5OH (Ethanol),GM-VOC (Volatile Org),GM-CO (Carbon Monoxide),MiCS-CO (Approximation),MiCS-Ethanol (Approximation),MiCS-VOC (Approximation)
0.000,0.94,0.48,0.44,0.07,5.33,4.39,1.67
0.100,0.95,0.48,0.44,0.07,5.33,4.39,1.67
0.200,0.95,0.48,0.44,0.07,5.33,4.39,1.67
0.300,0.95,0.48,0.44,0.07,5.33,4.39,1.67
0.400,0.95,0.48,0.44,0.07,5.33,4.39,1.67
0.500,0.95,0.48,0.44,0.07,5.33,4.39,1.67
0.600,0.95,0.48,0.44,0.07,5.33,4.39,1.67
0.700,0.95,0.48,0.44,0.07,5.33,4.39,1.67
0.800,0.94,0.48,0.44,0.07,5.33,4.39,1.67
0.900,0.94,0.48,0.44,0.07,5.33,4.39,1.67
1.000,0.94,0.48,0.44,0.07,5.33,4.39,1.67
1.100,0.94,0.48,0.44,0.07,5.33,4.39,1.67
1.200,0.94,0.48,0.44,0.07,5.33,4.39,1.67
1.300,0.94,0.48,0.44,0.07,5.33,4.39,1.67
1.400,0.94,0.48,0.44,0.07,5.33,4.39,1.67
1.500,0.94,0.48,0.44,0.07,5.33,4.39,1.67
1.600,0.94,0.48,0.44,0.07,5.33,4.39,1.67
1.700,0.94,0.48,0.44,0.07,5.33,4.39,1.67
1.800,0.94,0.48,0.44,0.07,5.33,4.39,1.67
1.900,0.94,0.48,0.44,0.07,5.33,4.39,1.67
2.000,0.94,0.48,0.44,0.07,5.33,4.39,1.67
2.100,0.94,0.48,0.44,0.07,5.33,4.39,1.67
2.200,0.94,0.48,0.44,0.07,5.33,4.39,1.67
2.300,0.94,0.48,0.44,0.07,5.17,4.21,1.61
2.400,0.94,0.48,0.44,0.07,5.33,4.39,1.67
2.500,0.94,0.48,0.44,0.07,5.17,4.21,1.61
2.600,0.94,0.48,0.44,0.07,5.33,4.39,1.67
2.700,0.94,0.48,0.44,0.07,5.17,4.21,1.61
2.800,0.94,0.48,0.44,0.07,5.33,4.39,1.67
2.900,0.94,0.48,0.44,0.07,5.33,4.39,1.67
3.000,0.94,0.48,0.44,0.07,5.17,4.21,1.61
3.100,0.94,0.48,0.44,0.07,5.33,4.39,1.67
3.200,0.94,0.48,0.44,0.07,5.33,4.39,1.67
3.300,0.94,0.48,0.44,0.07,5.33,4.39,1.67
3.400,0.94,0.48,0.44,0.06,5.33,4.39,1.67
3.500,0.94,0.48,0.44,0.06,5.33,4.39,1.67
3.600,0.94,0.48,0.44,0.07,5.33,4.39,1.67
3.700,0.94,0.48,0.44,0.07,5.33,4.39,1.67
3.800,0.94,0.48,0.44,0.07,5.17,4.21,1.61
3.900,0.94,0.48,0.44,0.07,5.33,4.39,1.67
4.000,0.94,0.48,0.44,0.06,5.33,4.39,1.67
4.100,0.94,0.48,0.44,0.07,5.33,4.39,1.67
4.200,0.94,0.48,0.44,0.06,5.33,4.39,1.67
4.300,0.94,0.48,0.44,0.07,5.17,4.21,1.61
4.400,0.94,0.48,0.44,0.06,5.33,4.39,1.67
4.500,0.94,0.48,0.44,0.06,5.17,4.21,1.61
4.600,0.94,0.48,0.44,0.06,5.33,4.39,1.67
4.700,0.94,0.48,0.44,0.06,5.17,4.21,1.61
4.800,0.94,0.48,0.44,0.07,5.33,4.39,1.67
4.900,0.94,0.48,0.44,0.06,5.33,4.39,1.67
