Electronic Nose Data Export
Sample Name,pengambilan2-percobaan1-melati
Sample Type,Bunga Melati
Export Date,2025-12-08T18:09:36.005057
Mode,Auto FSM
Number of Points,981

Time (s),GM-NO2 (Nitrogen Dioxide),GM-C2H5OH (Ethanol),GM-VOC (Volatile Org),GM-CO (Carbon Monoxide),MiCS-CO (Approximation),MiCS-Ethanol (Approximation),MiCS-VOC (Approximation)
0.000,0.71,0.57,0.10,0.04,20.71,25.92,7.79
0.250,0.71,0.57,0.10,0.04,20.71,25.92,7.79
0.500,0.71,0.57,0.10,0.04,20.71,25.92,7.79
0.750,0.71,0.57,0.10,0.04,20.71,25.92,7.79
1.000,0.71,0.57,0.10,0.04,21.26,26.81,8.03
1.250,0.71,0.57,0.10,0.04,21.26,26.81,8.03
1.500,0.71,0.57,0.10,0.04,21.26,26.81,8.03
1.750,0.71,0.57,0.10,0.04,20.71,25.92,7.79
2.000,0.71,0.57,0.10,0.04,21.26,26.81,8.03
2.250,0.71,0.57,0.10,0.04,21.26,26.81,8.03
2.500,0.71,0.57,0.10,0.04,21.81,27.72,8.26
2.750,0.71,0.57,0.10,0.04,21.81,27.72,8.26
3.000,0.72,0.57,0.10,0.04,21.81,27.72,8.26
3.250,0.72,0.57,0.10,0.04,22.91,29.57,8.74
3.500,0.72,0.57,0.10,0.04,22.36,28.64,8.50
3.750,0.73,0.57,0.10,0.04,22.91,29.57,8.74
4.000,0.73,0.57,0.10,0.04,23.47,30.52,8.98
4.250,0.74,0.57,0.10,0.04,23.47,30.52,8.98
4.500,0.74,0.57,0.10,0.04,23.47,30.52,8.98
4.750,0.74,0.57,0.10,0.04,24.03,31.48,9.22
5.000,0.75,0.57,0.10,0.04,24.03,31.48,9.22
5.250,0.75,0.57,0.11,0.04,24.03,31.48,9.22
5.500,0.75,0.57,0.11,0.04,24.03,31.48,9.22
5.750,0.76,0.57,0.11,0.04,26.31,35.43,10.22
6.000,0.76,0.57,0.11,0.04,24.60,32.45,9.47
6.250,0.77,0.57,0.11,0.04,24.60,32.45,9.47
6.500,0.77,0.57,0.11,0.04,24.60,32.45,9.47
6.750,0.77,0.57,0.11,0.04,24.60,32.45,9.47
7.000,0.78,0.57,0.11,0.04,25.16,33.43,9.72
7.250,0.78,0.57,0.11,0.04,25.16,33.43,9.72
7.500,0.78,0.57,0.12,0.04,24.60,32.45,9.47
7.750,0.79,0.57,0.12,0.04,25.16,33.43,9.72
8.000,0.79,0.57,0.12,0.04,25.16,33.43,9.72
8.250,0.79,0.57,0.12,0.04,23.47,30.52,8.98
8.500,0.79,0.57,0.12,0.04,25.73,34.42,9.97
8.750,0.80,0.57,0.12,0.04,25.16,33.43,9.72
9.000,0.80,0.57,0.12,0.04,25.73,34.42,9.97
9.250,0.80,0.57,0.12,0.04,25.73,34.42,9.97
9.500,0.80,0.57,0.12,0.04,25.73,34.42,9.97
9.750,0.81,0.57,0.12,0.04,25.73,34.42,9.97
10.000,0.81,0.57,0.12,0.04,25.73,34.42,9.97
10.250,0.81,0.57,0.12,0.04,25.73,34.42,9.97
10.500,0.81,0.57,0.13,0.04,25.73,34.42,9.97
10.750,0.81,0.57,0.13,0.04,25.73,34.42,9.97
11.000,0.81,0.57,0.13,0.04,25.73,34.42,9.97
11.250,0.82,0.57,0.13,0.04,24.03,31.48,9.22
11.500,0.82,0.57,0.13,0.04,26.89,36.45,10.47
11.750,0.82,0.57,0.13,0.04,25.73,34.42,9.97
12.000,0.82,0.57,0.13,0.04,25.73,34.42,9.97
12.250,0.82,0.57,0.13,0.04,25.73,34.42,9.97
12.500,0.82,0.57,0.13,0.04,25.73,34.42,9.97
12.750,0.83,0.57,0.13,0.04,26.31,35.43,10.22
13.000,0.83,0.57,0.13,0.04,25.73,34.42,9.97
13.250,0.83,0.57,0.14,0.04,25.73,34.42,9.97
13.500,0.83,0.57,0.14,0.04,25.73,34.42,9.97
13.750,0.83,0.57,0.14,0.04,25.73,34.42,9.97
14.000,0.83,0.57,0.14,0.04,25.73,34.42,9.97
14.250,0.83,0.57,0.14,0.04,25.73,34.42,9.97
14.500,0.83,0.57,0.14,0.04,26.31,35.43,10.22
14.750,0.83,0.57,0.14,0.04,26.31,35.43,10.22
15.000,0.83,0.57,0.14,0.04,26.31,35.43,10.22
15.250,0.83,0.57,0.14,0.04,25.73,34.42,9.97
15.500,0.84,0.57,0.14,0.05,26.31,35.43,10.22
15.750,0.84,0.57,0.14,0.04,26.31,35.43,10.22
16.000,0.84,0.57,0.14,0.04,25.73,34.42,9.97
16.250,0.84,0.57,0.14,0.05,26.31,35.43,10.22
16.500,0.84,0.57,0.14,0.05,26.31,35.43,10.22
16.750,0.84,0.57,0.14,0.04,26.31,35.43,10.22
17.000,0.84,0.57,0.14,0.05,26.31,35.43,10.22
17.250,0.84,0.57,0.14,0.04,26.31,35.43,10.22
17.500,0.84,0.57,0.15,0.05,26.31,35.43,10.22
17.750,0.84,0.57,0.15,0.05,26.31,35.43,10.22
18.000,0.84,0.57,0.15,0.04,26.31,35.43,10.22
18.250,0.84,0.57,0.15,0.04,26.31,35.43,10.22
18.500,0.84,0.57,0.15,0.05,26.31,35.43,10.22
18.750,0.84,0.57,0.15,0.05,25.73,34.42,9.97
19.000,0.84,0.57,0.15,0.05,26.31,35.43,10.22
19.250,0.84,0.57,0.15,0.05,24.03,31.48,9.22
19.500,0.84,0.57,0.15,0.05,26.31,35.43,10.22
19.750,0.84,0.57,0.15,0.04,26.31,35.43,10.22
20.000,0.84,0.57,0.15,0.05,26.89,36.45,10.47
20.250,0.85,0.57,0.15,0.05,26.31,35.43,10.22
20.500,0.85,0.57,0.15,0.05,26.31,35.43,10.22
20.750,0.85,0.57,0.15,0.05,25.16,33.43,9.72
21.000,0.85,0.57,0.15,0.04,26.31,35.43,10.22
