Electronic Nose Data Export
Sample Name,pengambilan2-percobaan1-melati
Sample Type,Bunga Kenanga
Export Date,2025-12-08T18:49:19.624059
Mode,Auto FSM
Number of Points,7077

Time (s),GM-NO2 (Nitrogen Dioxide),GM-C2H5OH (Ethanol),GM-VOC (Volatile Org),GM-CO (Carbon Monoxide),MiCS-CO (Approximation),MiCS-Ethanol (Approximation),MiCS-VOC (Approximation)
0.000,0.87,0.56,0.21,0.05,24.60,32.45,9.47
0.250,0.87,0.56,0.21,0.05,24.60,32.45,9.47
0.500,0.87,0.56,0.21,0.05,24.03,31.48,9.22
0.750,0.87,0.56,0.21,0.05,24.03,31.48,9.22
1.000,0.86,0.56,0.21,0.05,24.03,31.48,9.22
1.250,0.87,0.56,0.21,0.05,24.60,32.45,9.47
1.500,0.87,0.56,0.21,0.05,24.60,32.45,9.47
1.750,0.87,0.56,0.21,0.05,25.73,34.42,9.97
2.000,0.87,0.56,0.21,0.05,26.31,35.43,10.22
2.250,0.87,0.56,0.21,0.05,26.89,36.45,10.47
2.500,0.87,0.56,0.21,0.05,28.05,38.52,10.99
2.750,0.87,0.56,0.21,0.05,28.05,38.52,10.99
3.000,0.87,0.56,0.21,0.05,28.63,39.58,11.25
3.250,0.87,0.56,0.21,0.05,29.22,40.65,11.51
3.500,0.87,0.56,0.21,0.05,29.22,40.65,11.51
3.750,0.87,0.56,0.21,0.05,29.22,40.65,11.51
4.000,0.87,0.56,0.21,0.05,29.22,40.65,11.51
4.250,0.87,0.56,0.21,0.05,29.22,40.65,11.51
4.500,0.88,0.56,0.21,0.05,30.41,42.82,12.04
4.750,0.87,0.56,0.22,0.05,29.81,41.73,11.78
5.000,0.87,0.56,0.22,0.05,30.41,42.82,12.04
5.250,0.88,0.56,0.22,0.05,30.41,42.82,12.04
5.500,0.88,0.56,0.22,0.05,30.41,42.82,12.04
5.750,0.88,0.56,0.22,0.05,31.01,43.92,12.31
6.000,0.88,0.56,0.22,0.05,31.61,45.04,12.58
6.250,0.88,0.56,0.22,0.05,30.41,42.82,12.04
6.500,0.88,0.56,0.22,0.05,31.01,43.92,12.31
6.750,0.88,0.56,0.22,0.05,30.41,42.82,12.04
